participation_id,Top Speed,Total Distance,Distance in Zone 5,Time With Ball
019d8fa9-3cbd-42f2-bfcf-1bc676d13e0f,7.683000088,9969.641080558755,368.02632452141677,23.599999999999795
0c7c551a-93df-416d-a892-81eccd50c6eb,7.69299984,9709.67149331527,230.13867145588534,16.09999999999991
320d9832-0fdf-400e-b4e1-0d2b56144cf9,7.076000214,8536.51342720032,140.42542043478232,18.600000000000378
33d4053e-34a9-4324-97a5-c17e8607d4c9,7.426000118,3664.188434408926,119.26498985293463,1.8000000000000682
3b7ea68d-8174-4061-94cc-84a07d488cfe,6.968999863,7745.24628112139,218.6481499057175,35.00000000000108
455426a2-5604-4c3a-8b89-ed0519f8d77a,6.644000053,1598.4975339952584,29.332490678559125,0.0
48e50e40-2bc0-4a20-93cf-4683bcd13bf7,7.47300005,8118.400693167817,149.893144083342,35.09999999999991
5f9839df-d91a-4ecd-b446-795329b174a5,7.527999878,8217.648172856,211.4967378958264,26.10000000000025
685d721f-fb27-4fb6-a327-6c8b420bf47f,7.559000015,3115.69433673338,157.44871710153183,0.0
8d6885e6-bfa9-4561-820c-f80eac8d7f62,7.789000034,982.6290929296854,31.046481422982083,4.199999999999818
a04c9fce-b4f1-4f7f-82be-ed9e8f21feb8,7.136000156,11997.300936124171,684.6032182570191,21.19999999999969
a7cc7c2e-350d-47a3-9d76-e40bc7cffa9e,6.723999977,11450.61744935511,163.23980225722227,20.500000000000085
b2d99dc2-6919-4c70-b381-6f89ca52048d,3.693000078,991.2719442035506,0.0,0.0
b4498a98-9d30-4f18-8cdf-884774505d34,8.199999809,11015.236440009157,627.1916589795014,74.39999999999935
bff73444-2e99-46e8-9bef-3a0cece74bab,6.997000217,4276.831954291952,74.85477318604106,0.0
d56ca4de-1be4-499a-8242-b219e051f33c,6.989999771,11517.437232634522,257.4614062442205,19.299999999999926
