participation_id,Distance in Zone 5
a04c9fce-b4f1-4f7f-82be-ed9e8f21feb8,684.6032182570191
b4498a98-9d30-4f18-8cdf-884774505d34,627.1916589795014
019d8fa9-3cbd-42f2-bfcf-1bc676d13e0f,368.0263245214168
d56ca4de-1be4-499a-8242-b219e051f33c,257.4614062442205
0c7c551a-93df-416d-a892-81eccd50c6eb,230.13867145588532
3b7ea68d-8174-4061-94cc-84a07d488cfe,218.6481499057175
5f9839df-d91a-4ecd-b446-795329b174a5,211.4967378958264
a7cc7c2e-350d-47a3-9d76-e40bc7cffa9e,163.2398022572223
685d721f-fb27-4fb6-a327-6c8b420bf47f,157.44871710153183
48e50e40-2bc0-4a20-93cf-4683bcd13bf7,149.893144083342
320d9832-0fdf-400e-b4e1-0d2b56144cf9,140.42542043478232
33d4053e-34a9-4324-97a5-c17e8607d4c9,119.26498985293463
bff73444-2e99-46e8-9bef-3a0cece74bab,74.85477318604106
8d6885e6-bfa9-4561-820c-f80eac8d7f62,31.046481422982083
455426a2-5604-4c3a-8b89-ed0519f8d77a,29.332490678559125
b2d99dc2-6919-4c70-b381-6f89ca52048d,0.0
